reviewerId,reviewerName
"A35GVJQ7M7MPNT","KRN"
"AS9YDICUG2WQ6","Dru Chapman"
"A23JT0K16HJDCG","unknown"
"A1A8SGM0X203GG","coolios"
"A1AZVVJ2ZQRE27","Debs"
"A1A6GFS4VFDV58","Anthony"
"A1IATNXN0NE2WG","SRK"
"A2ND4DR9FJTBH4","mc"
"A1Q9EV7DWYFAB2","Laurad"
"A1A2UC4R5W6C6N","unknown"
"AFNZL5MEYIZ22","mjankey"
"AE3X1TFT3HT7H","unknown"
"A2HX1MDJXREUCQ","Julie B"
"AOXL2DQX2QGPT","Skywriter"
"A220QKGTMFWEJM","Lisa Cox"
"A29RJJ3ITZEFLW","DAVID"
"A13S69NC95PPFM","Jennifer Bonesteel"
"AOGENU9DYYR03","lovinglife6"
"AAEL1GA1FFC9I","Devoted2011"
"A3SVXI7WG6OH9T","Brian"
"AP9YP8WDW2KOO","Thecoolguy"
"AJD82CEEY0EMF","mmurtaba"
"A3EWHY419HVKFY","Robyn"
"AG90P6NLJ4ZA7","sharon"
"A3KSHSL9TU1TJV","L. Wood Book Lover"
"ANHYX90M30XV","Donna Tharp"
"A1P2APJ7SVWT3V","matt"
"A659CLDBWXML5","mac_cmh mac_cmh"
"AL2HQXGFKRKVJ","schreibf"
"A70SA19AV52UM","Gisele Gardner"
"A3TB40D0HXE1C","unknown"
"A3L1EW38KHSOJ8","Jack Reddington"
"A3AAKF7F3AX9VT","Karen Schied"
"A1MJMYLRTZ76ZX","magellan"
"A1DPJBYT15HNRN","M. D. Stanley"
"AG5FD9YWV3L06","scninal"
"A2BPLXHSZE7NHL","watermelen"
"A2CFFY5R2289ZF","Jillian"
"A3GOYTTHGPHR7A","K. MEEEEE"
"A3HSJJKZNN2NTT","Soda Pop floppy disk"
"A206SD3WJ6IR0E","MT Clarity"
"A3IF1PI9ZRNIC1","Ann Marie"
"A38A3Q3BJQ0NOA","lovemydogdaisy"
"A3QP4OERWIFLWX","Carol A. Ball"
"A3GAB6BYGP39R0","Cliff"
"A2E8A1JBDRM8SB","B. Green Avid reader"
"A2HW7ONS2137RJ","t"
"APN7O6X75EY7Q","Cyberqueen Cyberqueen"
"A1G2CUGL283DMO","Jennifer Smith"
"A3NSMB4ZEH66ZG","Nkerky"
"A2A01PZK6HASGH","Tracey Thompson"
"A341U4GYKBC6JJ","Zak Eff"
"A19JC0C9JL89B0","T Taylor"
"A1WFXFTNQNLP36","Jade miller"
"AQ00QOLX5TL4D","Anne argentyne"
"A2KY7UYTUN12TU","Hunter Angell Zabadoohp"
"A1TFYZPZQ1T9VS","b.michaels"
"A3JEGZ4Q0BWWFL","Thomas J. Wyatt blkhwk611"
"A2C5F8EIM22EQJ","Constance L. Timmons"
"A35BZX15EEMDI5","chichi"
"A344FO8O8Y6JOD","unknown"
"AXYYQL4ES5272","daye"
"A19Z5WPXX1XZD8","Amazon Customer Odd-One"
"A33CETDQYLUHML","Julia Anderson"
"A1YV92YK3Y09SZ","amygbennett"
"A24LEHWOHVHH3E","Jade Burkett"
"AE6NBNWSIASKL","Ready to travel"
"A3ILB03Z6FB3X7","unknown"
"A63TP2T6UY51F","Martha"
"A1036NNLQBDXDP","unknown"
"A1O4272HGVPET","wendy diebel"
"A1G0YVZ846FYOG","GWM"
"A2XLL2L8CTNJD5","unknown"
"AKCBSH12CYRC2","*LaceyRose*"
"A9GGXS2JA876L","Tiffany365"
"A1DOVKJFYTD7F9","Jamlick  Muhia"
"A38QPU8I3IQVQ9","katt"
"A1MLHALKYOXKIU","Lumina"
"A1ARY9U4MA25D2","b. t."
"A29IXDDOH7563J","candy"
"A27QC14TY5PTF9","klingding"
"A3VEGTSHTWDZNI","unknown"
"A280X9DX2UZTZ5","Kristina Beckett teach"
"AH8URPMJHWHU2","Kathleen Estes"
"A37NKMPHTHIW3L","Cynthia Brown"
"A259KIBR5B1YKM","glittergal"
"A1GDGAODLE1ZUA","hdrallygal"
"AXA9EVY6IJIZ5","Robin Cline Solarobby"
"A1G8UL254MJZNB","kimberly redman"
"A2G23HE4ZGIOLR","Annie Moore Barfield"
"A3DBGOE02NAR6R","James Brown."
"A24SMOM6ZGSBGK","angelica ab9916"
"A2C6J45RMCY1XL","Lanae Thomas"
"A36XYM2BGZH6NJ","Niki M"
"A1QH85JWJ19R4T","jared soper"
"AX681NEJLFLAM","jcruckus"
"A1PJKGNMUEGEWO","Neko-san"
"A3RDBKHEMKT3TK","Authorities"
"A10GLBE652T2FT","Lynda Racobs"
"A1AIWQJD9IMS9G","Amazon Customer"
"AAOSGKUQ0WNEX","M. M. McMahon"
"A3N5V96OA9MWHB","thisguy"
"AR8NN6IVG0EP1","TechBoy"
"A8VAA9RNH6MCP","Linell Schroeder"
"A3EFJNQVJNF88S","H.A.R.P."
"A2K1MN2MFML36G","VC"
"A10SFZKHMDN9SS","jwessa"
"A199YH55B9ZCR","Orange color is the dumbest color on the app"
"ASA28UG0SPS4X","jdavis"
"A7NGRREQ08GOA","Margie"
"A86UOAB5WDUPP","m menarek"
"A1NOGJY74KXP3J","monster928"
"A3DDREKCG6BZGB","Amazon Customer"
"AIERXJD73GIY3","Summer"
"A2PLW1PRR00K6R","appster"
"A1OMPFG49DIMHU","Spenser"
"AKT4F4W0KV9FV","flashqueen"
"A2RWMX6T72GLI5","Helen Mitchell"
"A295MXZ2MA21Y7","Charissa Duncan"
"A15JP4G64FDIND","Beavis Comeavis"
"AYOVHH10BWV5K","Mary Ann C. Dunn"
"A9IMYCBDL40XP","M. J. Anderson"
"ABEXX3DVBQ2G6","unknown"
"A1NRLES8PBCKI6","nla47546"
"A27EBM7GV2ZXR","unknown"
"A3C2A7YQCCRF1H","queend"
"A2T16IK0U3DLMX","Laura Benedict"
"A8T6LECDG218Z","arlene"
"AF4ZVRRA1HBVN","unknown"
"A3B319EEF0GDM4","Hallaspinner"
"A3VBHFEVQB88MJ","unknown"
"A3AYBOXZG1CIGY","unknown"
"A1B9SOLSFMWOKK","unknown"
"A3HUP9PNVEJ51X","Angry Bird"
"A4VETERIOEKG9","r. gross"
"A20RZ1PI86KHON","unknown"
"A2H4GDZ98X9PJ7","unknown"
"A1CTA8WVEOJKH7","LeDonna Cook"
"A23BMOS27HNEA5","Lea"
"A3Q0CQ3JJZHBM5","lillian mcmillian"
"A2JQOZRE8GA5YC","unknown"
"A3HPNJ4DA9JVI3","Coco"
"A2F48Z2OM06VVZ","Dazzle SilverSplash"
"A3BBAHO5WS9XIM","Forrest G. Welling"
"A5DCBKO71EFFJ","jules1"
"A2FMC2FVN9DRD","Anthony Winkler"
"ASG565WWBIFGS","kryssi0604"
"A1ETDR0GOZZBB8","kat9102"
"A1QXF6A652Y87P","CatsFan"
"A1LRUG0SXLLS45","Debra Kligman"
"A2WTSD4GZ4S4B9","D Past"
"A2MGQO0NOHMO2S","Kinkkink"
"AH3EDFCWFVY3","robert p miller"
"AFA4Y03ZVD0IK","brebite"
"AGRL1UMJEPVBW","sjs"
"A1RIQLT0X1PQG6","L. Bevins"
"A05314842GO6XH1MTNJDE","Gary Smith"
"A20JF7FE97Z4AK","Phillip Else 3D Man"
"AG912296OD6W2","Pamela"
"A1SNHR8JEN0TIU","melisa a"
"AVQE6CTVY838G","Lisa"
"A30L3MT5R27336","unknown"
"A34RM69IRD2YLM","Amazon Customer"
"A1TRLS43RPMQDN","Evelyn Guynn"
"A3U8587VMK3X27","Call_FF369 Call_FF_369"
"AIQ0QL8LDJ6M2","A.Wood"
"A285VAWJE598LZ","Amazon Customer"
"A1ZMZD14UP4IRR","J"
"A1LJEF51LNALBY","Kymmi"
"A17WRD9SFUNM0W","unknown"
"A3PZZ1U6WBWLR6","D.Watson"
"A23KW9OO7EJC5H","Thomas Delaney Tom D"
"A2PICCAF615V3A","Paul Rose"
"A2V87IIVIEWJ4F","mom_with_4"
"A2FU4R0UIB68BZ","Linlee Linlee"
"A3FFWE6L0FAPQB","Bull Lover"
"A1CL2XJTN8QA2T","L. Balog Honest Cowgirl"
"A1YSLK7QRENRUG","kelz20my 2"
"A2B1HNWSYJULNK","MaMa.RaYe"
"A369YHM3JMH0FS","unknown"
"A2RX82IQGVYE3H","nic"
"A1ZM4UAX0J0UY7","super duper3"
"A1RLNSO4V5X50K","unknown"
"A3HD80ZRTVUWZF","c.napier"
"A3I71FVJLWDQI6","b.wiltbank"
"A32JUE2F0AEMCP","Bewitching When I'm Gone, a Legend will be Born"
"A3NMW4SPIELBNL","Jane K."
"A3JOKXP26Q8EUA","Amazon Customer Gary"
"A310KT1UQC5UNU","Reading Fanatic (CMP)"
"A2H9QZCXUNTNR9","On the hill Laurie"
"A2HTPO2O4GX94S","Mark Murphy"
"A2U2ONMTKRAFQN","Ariel Nicole Ari"
"A3ZVMPLNA2DVY","Marlo Gilliland MrMMA"
"A11L5Q3FXFZRJU","Kevin Garner"
"A22P7MTEV8U7QO","Julie's opinions"
"A21YR9I01N5LSF","schmitty3"
"A12G0HXAPK1FK","Boardwalkbum"
"A2789HG1BQ45ID","Reese Ana"
"A3J5G0PNZK1HKL","unknown"
"A1R6ZXPSWEX1TP","LBreezee"
"A3RLKONFLJAIIE","Anna Margaret Prest"
"AZTTHIPIRTK88","Dean Hinson Dean"
"A2FKYQJ424L9YH","joelle"
"A19B18U2GIWOR4","Judith Tax Goddess"
"A3TLW23ZMWWIZL","love this game"
"A1S2EQ8Z6C52YE","armstrongmom"
"A19OOHMPZ4YWVH","Rae"
"AJHT8P2DN0MSY","bummertab"
"A2XSBQ4KU95N3G","Thomas Santana"
"A2I3H6IBBAW0WJ","sandrshe"
"AR6JGWQUH0VM0","Matthew"
"AUPFIK9GSZFQ6","good"
"AETVIUWM81EI","L.Iceheart"
"A1PC6EFUI4AH7T","unknown"
"AA5D2Q1O4ZMG8","D. Morris"
"A13TJB6KZ2JGMZ","BlueUnicorn"
"A1X56Y2ZLXR8QF","L.N.B."
"AW2QBJIBZTPLP","Glu Mobile"
"AEMO89D16T0Y5","Nury M Rivaden"
"AGQBSKP3EOUQ7","thekyhowards"
"AJG6C75WWEM86","Jill M."
"A3UR772O4MWP19","mortisregina"
"A3BHUTEUEBSVLL","MissGwenD"
"A18B7WPR4B7FUJ","bro fist"
"A2NWF0HC5Y2335","Robert Bartz"
"A1YGOIX1VPV6QU","Danny"
"A2XUDCFB9SKBRR","Shelly W."
"A1C9CG2SV5FCCI","gill"
"A2BWWLVRQ5TFMP","ish"
"A16O14C6E47QS1","Georgia Anderson"
"A2FLJT1SER2PKC","zteds"
"A38T853DO6A5CG","shydahl999"
"A1PA6ZO9892OH3","Kindle Customer"
"A2FTV0A071Z1KA","unknown"
"A3DKH9RIPGONWI","Shirley A  Ivey"
"AKKBFTQKC0D8H","T. Willitts Jackass of all Trades"
"ADZQZ095RBWQS","Kindle Customer"
"A199NGFJ5WGP2K","Helen Picca"
"A2ERCIGRNRMRRG","unknown"
"A3I7CNE6H69BZK","unknown"
"A2MT94NHGVZHOY","Nradova"
"A1T8M5WE7J8N3O","it sucks"
"A141YVPKCUZUGW","Martha M Dempsey"
"A29LSNPYR24XUJ","SandIsYourFriend"
"ATT2UKYHW9Z2G","Decasha horton"
"A3EY474C54O4RN","Steve Dunger"
"A1U2EZ2H9JJ6DR","J.L"
"AYCYRQVJHY2VI","unknown"
"AXVS0YS6FRR3G","unknown"
"A2XHNTGRWOS9MY","jerry"
"A1HSBG0NVNI1XJ","Erin"
"A1CGV5Q6NETM1L","unknown"
"A13LQH3MTHY67H","M. Doherty"
"A1GZI1YNJMFHA","M. McCutcheon"
"A3M8JVTCCII6HO","midi73"
"A25U2GHSVB395A","c.viveros"
"A10FYO3GPFWEYG","Fencer24"
"A1OKJ0JZDUZ5M6","Glenn J. Clifford"
"A2YHRCXU7W3742","jenn"
"A175NTTSIQN15P","unknown"
"ADJFVA0JL1E89","iCaleb Queen"
"A3J4P2KOPBTPV3","Colette L. Coomer"
"A1PIYF6MKIT8WC","Mike"
"A12H68NUU2TB8I","unknown"
"A2WUDYCY0T0EHC","Another gamer"
"A35DY861EW3ND9","flinging pigs"
"A2QYZ54NBXKTSS","David"
"A32ECMNVZ1B5RZ","Amazon Customer"
"AVSYMCV3YOF8O","P. Bronecky georgie girl"
"A1FUI58UVC4N26","Bulletproof"
"A2PQJRBRH1IVB4","BobG"
"A2HA9GAL5BWMNC","Keiloni"
"A3BZYDPQE0CLA6","Lizzie Rates It"
"A2KNW38F0UUTM5","unknown"
"AI7JQZE1XJM89","daimiensmama"
"A2QRRGEYUDLH7","jdm443"
"A4K2UT0M4SMKU","unknown"
"A152N5TJ083RLL","kayvonne Fleming"
"ANF3QY9OBG1Y4","Olga J Papach"
"A1EHEI62PBATI1","M. Bales"
"A13EBLNSV40LFD","Deitra Stover"
"A1V2DAMGMHPQNZ","Amazon Customer"
"A2VMFOECGSHASB","unknown"
"A1B7UYXULCQ9X5","Nic"
"A1P194720OUHAG","R. Ryan catZ68"
"ARE5EZR3CZE75","A.BEECH"
"A35X9GKI1118J3","unknown"
"A38C12950IM24P","Christopher J. Cowen"
"A3TX11V3S2AYYD","Edward L. Doyle doyleed"
"A20YLYO95WXMN0","Lyndell Little"
"AH71120H49QR1","Best app ever!!"
"A3EQT3L52788HH","Elijah Hickman"
"A36SGX4NXM6DYH","Linda Rollins"
"A2QP7IWHUWFKD0","unknown"
"A317X2BOAHCASD","Patty"
"A2CHXD102XLGEH","r mand"
"A2N2PJLAVS6TSJ","Tony Z"
"ATG48YNEFXUSN","peaceful owl"
"A8SWYNM8ARBX3","A--"
"A2FP7CVKG24UPZ","mjf"
"A1NEFU5OH79VDJ","msladydc"
"A2EY82L1F71NXL","johnny w."
"AOKQA4YIC1257","JJ"
"AFHVBLBKCNN9","Roscoe"
"A69JZRHUUF8FI","S. Dilworth"
"AZOPD32OQPJJ1","Zachary Page"
"AITA0NLNU0KRZ","Jordan VanSurksum"
"A300RFTV7HKI5S","Heather"
"A2V4454CM5KVR7","Koshman"
"A1H6JUCLUPTUL7","babe"
"A1KUE47DR6SC47","Gretchen"
"A2Y0K749REWG06","zuggislandgurl"
"A3SW78JW6SIDDU","Person"
"A2ZBUL0X6UDJYZ","gaga"
"A1OPESCZDAZOXX","L.Morgan"
"A3HHQK6FQXSXMP","dustytiger"
"A3EFFXY8AFITL0","Diane Hollingshead"
"A21DAP2A99PJLD","hi me"
"A2GZXBPB5F059E","tia mccarthy"
"AMBBGOCA103KA","Tina S. Ball"
"A1MOBTVYZRH94N","Jose Luis"
"A1O9A1GV498SLJ","Amazon Customer"
"A102Y9SVCWI737","EllisMitch"
"A2L2RKZRLFJPWY","nathan"
"A3NFPKQ7LY1CRR","shaylyne81 yrfantasy99"
"A2E6BGLHHF4M7Z","Dave Weinreis"
"A2P1PFD8YB6Z5Q","susan"
"A2L7ILB0CT4WAM","Tara"
"A1L6CHXAI6J2TA","owenliam"
"A3OAJYHRN4GUNF","Amazon Customer"
"AVR5J0LRE14GZ","Awesome2"
"A18N4MGQ2H3OYD","LS"
"A3537QNM1C0T5H","sarah bullock"
"ALMLC645IU0PO","Spartan92063"
"A1ALU4TOLJG3NM","k.woodard"
"A1SRYMMJA5C4QQ","malsmommy Laugh~Love~Live"
"A1NM41TS8W9IHQ","Debra K. Garcia Debbie G."
"A2YD0D6209UC6B","tjoh"
"AITM5E6W6KHD3","summerain"
"A2JN20LK6T4QNY","Richard Emm"
"A1JQSKM0CO1MT5","animal lover"
"ALMKQ1ZSZPW8W","Maggie West"
"A7LZ7LZP6325T","unknown"
"A17A5ZGQKLF4OO","LadyB"
"A1TLPX657Y9BA8","GRAMQUACKER gramquacker"
"A3HM9F3V6QTZ11","Anthony"
"A2O31USMFISPJV","Diana 3D Diana 3D"
"AO7M1THHMWDDZ","Jerri"
"A3O7FT8XHUQRPZ","B.Kohlman"
"A1WVF8NFRDV3JX","Walter C Walter T. Cochran"
"A20BM795FUG9U8","LC"
"A2PGYU6K19CNOO","Amazon Customer"
"A1HIP9DIUS3C49","Mona"
"A3EY8NL3H4EDHQ","unknown"
"A3NCVBTS4EO84X","april"
"A187NGTRUCOLDY","Leroy Stearns"
"AHFOKQ0JC534X","m.m"
"A175EXX225RLVE","unknown"
"A2J3XCFUW58BMS","unknown"
"A1SP1AKCQXZFJV","R.Plum"
"A2SLKPK6EB3URQ","Jeffrey A. Stragand"
"A1FOEAD95HGA9V","Shirley T. Irwin"
"AWFJQNIQG0VLL","J. V. Ramirez JJ"
"AOE1Z5WPMX099","ANN"
"A3NCXM308R7JLM","Kindle Fire User"
"A54VVAZJAAU1R","Heaven"
"A1A6QG2ZINVBGN","Amity"
"A19PGTHBF4DHF8","D.Jones"
"A3C6STSWPRIIGR","Sharon 146"
"A2LJBGB0I4M86Z","l. riley"
"A1RL6WMYCNVALV","unknown"
"AC3LICCATCBKA","High Expectations"
"A2IOFUBWAGGDX3","J.L"
"AUCEPYOJJYWLO","Edie Rubin"
